Date,Open,High,Low,Close,Adj Close,Volume
2019-02-21,106.900002,109.480003,106.870003,109.410004,109.410004,29063200
2019-02-22,110.050003,111.199997,109.820000,110.970001,110.970001,27763200
2019-02-25,111.760002,112.180000,111.260002,111.589996,111.589996,23750600
2019-02-26,111.260002,113.239998,111.169998,112.360001,112.360001,21536700
2019-02-27,111.690002,112.360001,110.879997,112.169998,112.169998,21487100
2019-02-28,112.040001,112.879997,111.730003,112.029999,112.029999,29083900
2019-03-01,112.889999,113.019997,111.669998,112.529999,112.529999,23501200
2019-03-04,113.019997,113.250000,110.800003,112.260002,112.260002,26608000
2019-03-05,112.250000,112.389999,111.230003,111.699997,111.699997,19538300
2019-03-06,111.870003,112.660004,111.430000,111.750000,111.750000,17687000
2019-03-07,111.400002,111.550003,109.870003,110.389999,110.389999,25339000
2019-03-08,109.160004,110.709999,108.800003,110.510002,110.510002,22818400
2019-03-11,110.989998,112.949997,110.980003,112.830002,112.830002,26491600
2019-03-12,112.820000,113.989998,112.650002,113.620003,113.620003,26132700
2019-03-13,114.129997,115.000000,113.779999,114.500000,114.500000,35513800
2019-03-14,114.540001,115.199997,114.330002,114.589996,114.589996,30763400
2019-03-15,115.339996,117.250000,114.589996,115.910004,115.910004,54681100
2019-03-18,116.169998,117.610001,116.050003,117.570000,117.570000,31207600
2019-03-19,118.089996,118.440002,116.989998,117.650002,117.650002,37588700
2019-03-20,117.389999,118.750000,116.709999,117.519997,117.519997,28098600
